"","Player","Team","Season","Position","Minutes","Goals Added"
"","Pedro Santos","CLB","2018","W","2365","3.88"
"","Jesús Medina","NYC","2018","W","2173","3.88"
"","Andrew Farrell","NER","2015","CB","3036","3.88"
"","Fanendo Adi","POR","2014","ST","1630","3.87"
"","DaMarcus Beasley","HOU","2015","FB","2568","3.87"
"","Harrison Afful","CLB","2016","FB","2743","3.86"
"","Tomás Martínez","HOU","2018","AM","2629","3.86"
"","John Stiven Mendoza","NYC","2016","W","1263","3.86"
"","Fanendo Adi","POR","2017","ST","2044","3.85"
"","Darlington Nagbe","POR","2017","W","2525","3.85"
"","Borek Dockal","PHI","2018","AM","2519","3.85"
"","Benny Feilhaber","SKC","2017","CM","2462","3.85"
"","Maynor Figueroa","HOU","2019","CB","2481","3.84"
"","Will Johnson","POR","2013","CM","2725","3.84"
"","Nicolás Mezquida","COL","2019","W","1610","3.84"
"","Chris Rolfe","CHI","2013","ST","2269","3.84"
"","Teal Bunbury","NER","2016","W","1773","3.83"
"","Eddie Johnson","SEA","2013","ST","1869","3.83"
"","Brad Davis","HOU","2013","CM","2339","3.81"
"","Conor Casey","PHI","2013","ST","2372","3.81"
"","Matt Besler","SKC","2019","CB","2312","3.81"
"","Osvaldo Alonso","SEA","2015","CM","1982","3.80"
"","Michael Parkhurst","ATL","2018","CB","3190","3.80"
"","Michael Bradley","TOR","2017","DM","2902","3.80"
"","Jesús Ferreira","FCD","2019","ST","2671","3.79"
"","Ibson","MIN","2018","DM","2329","3.79"
"","Justin Mapp","MTL","2014","W","1848","3.79"
"","Haris Medunjanin","PHI","2017","DM","3299","3.78"
"","Kacper Przybylko","PHI","2019","ST","2464","3.77"
"","Michael Farfan","PHI","2013","W","2168","3.77"
"","Marc Rzatkowski","NYRB","2019","DM","2553","3.77"
"","Edgar Castillo","COL","2018","FB","2685","3.77"
"","Zoltán Stieber","DCU","2018","W","2003","3.75"
"","Maximiliano Urruti","FCD","2017","ST","2947","3.75"
"","Joao Plata","RSL","2016","W","2664","3.75"
"","Ilsinho","PHI","2019","W","1237","3.75"
"","Jalil Anibaba","CHI","2013","FB","3300","3.74"
"","DaMarcus Beasley","HOU","2018","FB","2437","3.74"
"","Pedro Morales","VAN","2016","DM","2214","3.73"
"","Santiago Mosquera","FCD","2018","W","1754","3.73"
"","Michael Parkhurst","CLB","2016","CB","3261","3.73"
"","Will Bruin","SEA","2017","ST","1968","3.73"
"","Lamine Sané","ORL","2019","CB","2521","3.73"
"","Dave Romney","LAG","2017","CB","2470","3.73"
"","Sean Davis","NYRB","2019","DM","2823","3.72"
"","Felipe","MTL","2013","CM","2510","3.71"
"","Rodney Wallace","POR","2013","W","2156","3.70"
"","Luciano Acosta","DCU","2019","AM","2369","3.70"
"","Michel","FCD","2013","DM","2485","3.70"
"","David Guzmán","POR","2017","DM","2209","3.70"
"","Kyle Beckerman","RSL","2013","DM","2457","3.69"
"","Kyle Beckerman","RSL","2018","DM","2874","3.69"
"","Sam Cronin","SJE","2013","CM","3214","3.69"
"","Chris Wondolowski","SJE","2014","ST","2536","3.68"
"","Yordy Reyna","VAN","2019","W","2188","3.68"
"","Dax McCarty","NYRB","2016","DM","2445","3.68"
"","Jack Price","COL","2018","DM","3031","3.67"
"","Diego Chara","POR","2017","DM","2760","3.67"
"","Yordy Reyna","VAN","2017","AM","1168","3.67"
"","Ike Opara","SKC","2017","CB","2935","3.67"
"","Nemanja Nikolic","CHI","2019","ST","2133","3.67"
"","Chris Pontius","PHI","2017","W","2382","3.67"
"","Jonathan Osorio","TOR","2013","CM","1883","3.67"
"","Jefferson Savarino","RSL","2017","W","1771","3.66"
"","Tommy Thompson","SJE","2019","FB","2482","3.65"
"","Michael Bradley","TOR","2019","DM","2593","3.64"
"","Felipe","NYRB","2016","DM","3151","3.64"
"","Michael Barrios","FCD","2016","W","2596","3.64"
"","Cristian Techera","VAN","2018","W","1480","3.63"
"","Nicolás Gaitán","CHI","2019","AM","2171","3.63"
"","Lovel Palmer","CHI","2014","FB","2826","3.62"
"","Cristian Techera","VAN","2017","W","2166","3.62"
"","Darren Mattocks","DCU","2018","ST","1441","3.62"
"","Reggie Cannon","FCD","2018","FB","3202","3.62"
"","Francisco Calvo","MIN","2017","CB","2637","3.61"
"","David Ferreira","FCD","2013","AM","2629","3.61"
"","Will Bruin","HOU","2016","ST","1709","3.61"
"","Joao Plata","RSL","2014","ST","2119","3.60"
"","Damien Perrinelle","NYRB","2015","CB","2589","3.60"
"","Ike Opara","MIN","2019","CB","2816","3.60"
"","Jack Price","COL","2019","DM","2449","3.59"
"","Baggio Husidic","LAG","2014","CM","2344","3.59"
"","Oriol Rosell","SKC","2013","DM","2910","3.59"
"","Miles Robinson","ATL","2019","CB","3259","3.58"
"","Johan Kappelhof","CHI","2016","CB","3014","3.58"
